Date,Hospital_ID,Hospital_Name,City,State,Disease_Type,Season,Patient_Count,ICU_Required,Beds_Required,Available_Beds,Oxygen_Cylinders_Required,Doctors_Required,Nurses_Required,Ventilators_Required,Medicine_1,Medicine_2,Medicine_3,Medicine_Units_Required,Occupancy_Rate,Emergency_Level
2024-01-26,1069,Carr PLC Hospital,Wigginsside,Mississippi,Typhoid,Summer,312,59,248,531,121,27,74,29,Ciprofloxacin,Azithromycin,ORS,1248,46.7,LOW
2024-01-27,1021,Davis Group Hospital,East Kevinborough,Indiana,Pneumonia,Winter,424,104,321,518,170,25,109,36,Amoxicillin,Azithromycin,Cough Syrup,1696,61.97,LOW
2024-01-28,1093,Christensen-Baker Hospital,Woodsborough,West Virginia,Typhoid,Summer,158,31,111,317,59,15,33,19,Ciprofloxacin,Azithromycin,ORS,316,35.02,LOW
2024-01-29,1010,"Smith, Howell and Harris Hospital",Georgeside,Idaho,COVID,Rainy,243,20,191,393,92,26,40,7,Remdesivir,Paracetamol,Oxygen Support,972,48.6,LOW
2024-01-30,1069,"Horn, Robertson and Brown Hospital",Port Patrick,New York,Pneumonia,Summer,143,35,106,400,50,12,37,22,Amoxicillin,Azithromycin,Cough Syrup,572,26.5,LOW
2024-01-31,1014,Jackson-Goodman Hospital,Lake Jefferyburgh,West Virginia,Malaria,Winter,165,29,118,494,75,17,32,21,Chloroquine,Artemisinin,Primaquine,825,23.89,LOW
2024-02-01,1059,Ramos-Thomas Hospital,Harrisonchester,Georgia,Pneumonia,Winter,341,37,228,304,69,20,95,20,Amoxicillin,Azithromycin,Cough Syrup,1705,75.0,MEDIUM
2024-02-02,1031,Campbell-Nielsen Hospital,Port Angela,Georgia,COVID,Winter,336,49,319,208,74,32,68,24,Remdesivir,Paracetamol,Oxygen Support,1680,153.37,HIGH
2024-02-03,1069,"Schmidt, Khan and Bell Hospital",Gregorymouth,Tennessee,Malaria,Rainy,264,40,174,369,87,23,59,20,Chloroquine,Artemisinin,Primaquine,792,47.15,LOW
2024-02-04,1001,Barnett Group Hospital,East Michael,Virginia,COVID,Summer,449,39,397,120,146,34,92,23,Remdesivir,Paracetamol,Oxygen Support,1796,330.83,HIGH
2024-02-05,1045,Rodriguez-Torres Hospital,Fowlertown,North Dakota,Malaria,Summer,242,48,218,532,66,13,60,25,Chloroquine,Artemisinin,Primaquine,968,40.98,LOW
2024-02-06,1032,Kim and Sons Hospital,Erichaven,Arkansas,Malaria,Rainy,242,28,205,205,105,17,53,13,Chloroquine,Artemisinin,Primaquine,1210,100.0,HIGH
2024-02-07,1073,"Delacruz, Rhodes and Williams Hospital",Bryanberg,Michigan,Dengue,Rainy,193,18,141,246,71,15,50,6,ORS,Platelets,Paracetamol,386,57.32,LOW
2024-02-08,1078,Garcia PLC Hospital,Kennedychester,Alaska,Dengue,Rainy,266,62,213,230,66,29,69,28,ORS,Platelets,Paracetamol,1330,92.61,HIGH
2024-02-09,1040,Ramos-Jackson Hospital,Kerryton,Nevada,Dengue,Winter,98,23,64,408,32,7,28,14,ORS,Platelets,Paracetamol,490,15.69,LOW
2024-02-10,1017,Jimenez-Davis Hospital,Port Melissamouth,Minnesota,Malaria,Rainy,462,71,359,445,178,53,119,34,Chloroquine,Artemisinin,Primaquine,924,80.67,MEDIUM
2024-02-11,1081,Stewart-Harris Hospital,West Kenneth,Rhode Island,Pneumonia,Rainy,238,31,202,484,95,19,58,9,Amoxicillin,Azithromycin,Cough Syrup,1190,41.74,LOW
2024-02-12,1027,"Kelley, Phillips and Santos Hospital",South Michael,Kansas,Malaria,Summer,144,26,88,134,44,9,27,10,Chloroquine,Artemisinin,Primaquine,432,65.67,MEDIUM
2024-02-13,1089,"Gomez, Bowers and Chapman Hospital",Klineport,California,Flu,Winter,86,14,53,128,22,5,16,7,Paracetamol,Azithromycin,Vitamin C,258,41.41,LOW
2024-02-14,1061,Rice and Sons Hospital,Ellisshire,Montana,Dengue,Summer,477,38,398,515,210,48,94,15,ORS,Platelets,Paracetamol,1908,77.28,MEDIUM
2024-02-15,1001,Williams-Stout Hospital,West Jaime,Kansas,Dengue,Winter,411,69,388,264,194,42,77,27,ORS,Platelets,Paracetamol,1644,146.97,HIGH
2024-02-16,1011,Ewing-Douglas Hospital,Andersonton,South Dakota,Typhoid,Winter,60,13,45,511,26,5,13,9,Ciprofloxacin,Azithromycin,ORS,300,8.81,LOW
2024-02-17,1096,Chaney-Simon Hospital,West Kellyshire,Kansas,Flu,Rainy,287,64,235,387,59,16,69,28,Paracetamol,Azithromycin,Vitamin C,574,60.72,LOW
2024-02-18,1089,"Smith, Tate and Howard Hospital",Brighthaven,North Carolina,Dengue,Summer,178,36,141,242,62,18,46,16,ORS,Platelets,Paracetamol,356,58.26,LOW
2024-02-19,1094,Shah-King Hospital,Jamieville,Tennessee,Flu,Rainy,192,44,150,521,92,18,57,26,Paracetamol,Azithromycin,Vitamin C,384,28.79,LOW
2024-02-20,1009,Jones Inc Hospital,Savagechester,Nevada,Malaria,Summer,418,57,367,109,146,29,122,27,Chloroquine,Artemisinin,Primaquine,2090,336.7,HIGH
2024-02-21,1045,Hernandez-Rivera Hospital,Larsonstad,Vermont,Typhoid,Winter,97,20,60,150,34,5,21,11,Ciprofloxacin,Azithromycin,ORS,485,40.0,LOW
2024-02-22,1016,Stone-Thompson Hospital,Vargasport,Indiana,COVID,Rainy,300,51,185,271,84,19,67,36,Remdesivir,Paracetamol,Oxygen Support,1500,68.27,MEDIUM
2024-02-23,1016,"Abbott, Fleming and Lewis Hospital",Brownhaven,Oklahoma,Flu,Winter,128,11,84,117,57,6,27,3,Paracetamol,Azithromycin,Vitamin C,384,71.79,MEDIUM
2024-02-24,1023,James PLC Hospital,Jillmouth,Maryland,Flu,Summer,225,35,145,302,51,11,55,25,Paracetamol,Azithromycin,Vitamin C,675,48.01,LOW
2024-02-25,1020,"Morgan, Moore and Hudson Hospital",Port Danny,Indiana,Malaria,Summer,435,99,287,327,102,23,69,39,Chloroquine,Artemisinin,Primaquine,1740,87.77,HIGH
2024-02-26,1091,Rivas-Fisher Hospital,Port Ashley,Colorado,COVID,Summer,458,93,281,471,110,54,100,62,Remdesivir,Paracetamol,Oxygen Support,2290,59.66,LOW
2024-02-27,1075,"Bailey, Lin and Harris Hospital",South Jameschester,Tennessee,Malaria,Rainy,277,45,205,140,82,20,76,14,Chloroquine,Artemisinin,Primaquine,1108,146.43,HIGH
2024-02-28,1010,Mills and Sons Hospital,Palmerborough,Utah,Malaria,Winter,205,49,126,495,80,18,44,35,Chloroquine,Artemisinin,Primaquine,820,25.45,LOW
2024-02-29,1021,Sullivan Inc Hospital,Danielleton,New York,Flu,Rainy,170,21,129,557,74,11,29,10,Paracetamol,Azithromycin,Vitamin C,340,23.16,LOW
2024-03-01,1034,"Martinez, Chavez and Ramirez Hospital",Michaelmouth,Virginia,Malaria,Summer,127,11,97,143,41,7,37,7,Chloroquine,Artemisinin,Primaquine,635,67.83,MEDIUM
2024-03-02,1040,Smith and Sons Hospital,Taylorburgh,Alabama,COVID,Rainy,336,33,295,515,76,33,55,19,Remdesivir,Paracetamol,Oxygen Support,1008,57.28,LOW
2024-03-03,1092,Kim-Martinez Hospital,West Carlyberg,New York,Flu,Rainy,473,61,378,233,229,28,138,39,Paracetamol,Azithromycin,Vitamin C,1419,162.23,HIGH
2024-03-04,1084,"Lewis, Jackson and Bailey Hospital",Johnsonmouth,Rhode Island,Typhoid,Summer,365,55,336,412,85,35,96,17,Ciprofloxacin,Azithromycin,ORS,1460,81.55,MEDIUM
2024-03-05,1099,Odom-Phillips Hospital,Sharonhaven,Texas,Flu,Winter,174,32,119,194,70,12,39,17,Paracetamol,Azithromycin,Vitamin C,522,61.34,LOW
2024-03-06,1019,Bray-Russell Hospital,Port Christina,Tennessee,COVID,Summer,409,89,303,504,103,27,120,49,Remdesivir,Paracetamol,Oxygen Support,2045,60.12,LOW
2024-03-07,1095,"Serrano, Russell and Morgan Hospital",Debramouth,Washington,Malaria,Summer,439,86,293,192,199,37,104,62,Chloroquine,Artemisinin,Primaquine,2195,152.6,HIGH
2024-03-08,1065,"Moore, Ford and Wheeler Hospital",Gallegosport,Georgia,Flu,Summer,447,75,330,308,173,30,86,52,Paracetamol,Azithromycin,Vitamin C,1341,107.14,HIGH
2024-03-09,1069,Moyer Ltd Hospital,West Robertton,Massachusetts,Pneumonia,Winter,225,26,198,427,69,18,58,17,Amoxicillin,Azithromycin,Cough Syrup,1125,46.37,LOW
2024-03-10,1054,Zuniga PLC Hospital,West Nancy,Wisconsin,COVID,Summer,162,38,121,544,49,10,35,22,Remdesivir,Paracetamol,Oxygen Support,486,22.24,LOW
2024-03-11,1005,Lowe Inc Hospital,Evelynborough,New Hampshire,Malaria,Summer,424,89,295,285,192,26,74,26,Chloroquine,Artemisinin,Primaquine,1696,103.51,HIGH
2024-03-12,1061,King-Gates Hospital,Brownmouth,Oregon,Pneumonia,Rainy,248,43,188,566,103,22,40,27,Amoxicillin,Azithromycin,Cough Syrup,744,33.22,LOW
2024-03-13,1065,"Kim, Brown and Alvarado Hospital",South Bryanville,New Hampshire,Pneumonia,Rainy,352,78,238,215,138,20,57,33,Amoxicillin,Azithromycin,Cough Syrup,1760,110.7,HIGH
2024-03-14,1026,"Lyons, Gross and Brown Hospital",Lake Michaelberg,Utah,Pneumonia,Rainy,322,70,242,384,140,22,64,42,Amoxicillin,Azithromycin,Cough Syrup,966,63.02,LOW
2024-03-15,1018,"Huff, Sherman and Orr Hospital",Moodytown,Montana,Pneumonia,Winter,202,38,146,580,84,14,49,22,Amoxicillin,Azithromycin,Cough Syrup,606,25.17,LOW
2024-03-16,1097,"Reed, Davis and Green Hospital",West Yolanda,Utah,Pneumonia,Summer,404,49,313,570,139,20,62,32,Amoxicillin,Azithromycin,Cough Syrup,808,54.91,LOW
2024-03-17,1055,Simmons-Goodwin Hospital,West Seanview,Colorado,COVID,Summer,92,15,87,139,20,5,19,11,Remdesivir,Paracetamol,Oxygen Support,368,62.59,LOW
2024-03-18,1060,Burgess-Bryant Hospital,Floresport,North Carolina,Flu,Rainy,480,106,399,261,232,43,96,68,Paracetamol,Azithromycin,Vitamin C,1920,152.87,HIGH
2024-03-19,1023,Johnson Ltd Hospital,New Patriciaberg,Arkansas,COVID,Winter,472,58,313,536,196,55,94,31,Remdesivir,Paracetamol,Oxygen Support,944,58.4,LOW
2024-03-20,1035,Brown-Wallace Hospital,Carrollport,South Dakota,Dengue,Summer,74,10,61,473,32,6,12,5,ORS,Platelets,Paracetamol,370,12.9,LOW
2024-03-21,1083,Richardson LLC Hospital,Swansonmouth,Oregon,Dengue,Summer,97,18,63,331,46,8,27,12,ORS,Platelets,Paracetamol,485,19.03,LOW
2024-03-22,1058,"Smith, Hartman and Reid Hospital",Port Joshuachester,Alaska,COVID,Winter,181,44,148,278,79,14,45,29,Remdesivir,Paracetamol,Oxygen Support,543,53.24,LOW
2024-03-23,1091,Kim-Johnson Hospital,Port Devinborough,Idaho,Dengue,Summer,397,83,329,156,82,23,86,63,ORS,Platelets,Paracetamol,1191,210.9,HIGH
2024-03-24,1042,"Wright, Patrick and Rodriguez Hospital",Angelland,Colorado,Flu,Winter,90,7,72,100,26,9,23,3,Paracetamol,Azithromycin,Vitamin C,180,72.0,MEDIUM
2024-03-25,1004,Hernandez-Snyder Hospital,New Patriciaberg,Georgia,Pneumonia,Summer,399,96,252,144,121,37,73,45,Amoxicillin,Azithromycin,Cough Syrup,1596,175.0,HIGH
2024-03-26,1007,Lewis-Whitaker Hospital,Rossland,Tennessee,Dengue,Summer,407,33,288,412,83,33,89,23,ORS,Platelets,Paracetamol,2035,69.9,MEDIUM
2024-03-27,1034,"Robinson, Carr and Russell Hospital",Lake Ronald,Oklahoma,Dengue,Summer,482,80,442,457,181,39,85,59,ORS,Platelets,Paracetamol,2410,96.72,HIGH
2024-03-28,1003,"Kelly, Logan and Mcdowell Hospital",Port Brianna,Arizona,Pneumonia,Summer,112,21,90,106,44,9,31,15,Amoxicillin,Azithromycin,Cough Syrup,448,84.91,MEDIUM
2024-03-29,1095,Rivera-Weiss Hospital,Churchland,Washington,Malaria,Winter,389,54,274,455,185,24,106,38,Chloroquine,Artemisinin,Primaquine,1556,60.22,LOW
2024-03-30,1021,Nelson and Sons Hospital,Russoside,Florida,Flu,Summer,126,16,75,268,62,8,21,5,Paracetamol,Azithromycin,Vitamin C,378,27.99,LOW
2024-03-31,1061,Coleman and Sons Hospital,Michaelshire,Oklahoma,Typhoid,Winter,325,47,255,402,105,16,59,20,Ciprofloxacin,Azithromycin,ORS,1300,63.43,LOW
2024-04-01,1059,"Stanley, Jones and Bowen Hospital",New Joseph,Rhode Island,Malaria,Summer,347,78,299,243,83,29,92,37,Chloroquine,Artemisinin,Primaquine,694,123.05,HIGH
2024-04-02,1098,Maldonado-Fry Hospital,North Frank,Alabama,COVID,Winter,67,12,52,246,21,6,19,4,Remdesivir,Paracetamol,Oxygen Support,335,21.14,LOW
2024-04-03,1038,"Morris, Ware and Williams Hospital",North Kimberly,Michigan,Dengue,Rainy,257,27,195,125,79,30,51,20,ORS,Platelets,Paracetamol,771,156.0,HIGH
2024-04-04,1075,Gonzalez-Bright Hospital,Richardsshire,Minnesota,Dengue,Rainy,207,27,165,344,54,24,49,19,ORS,Platelets,Paracetamol,828,47.97,LOW
2024-04-05,1012,Rodriguez Inc Hospital,North Kathrynside,New Hampshire,Dengue,Winter,495,80,342,198,201,46,76,63,ORS,Platelets,Paracetamol,1980,172.73,HIGH
2024-04-06,1069,Garrison-Salazar Hospital,Johnborough,Washington,Typhoid,Winter,384,85,256,147,104,28,60,34,Ciprofloxacin,Azithromycin,ORS,1152,174.15,HIGH
2024-04-07,1099,Johnson-Mayer Hospital,Lake Robert,Missouri,Pneumonia,Summer,435,100,380,367,183,42,124,34,Amoxicillin,Azithromycin,Cough Syrup,1740,103.54,HIGH
2024-04-08,1007,"Ramos, Knight and Long Hospital",South Paula,Mississippi,Typhoid,Winter,421,95,333,525,122,27,67,42,Ciprofloxacin,Azithromycin,ORS,1263,63.43,LOW
2024-04-09,1090,Miller Inc Hospital,Port Brendaburgh,Utah,Flu,Rainy,311,42,192,321,145,32,73,24,Paracetamol,Azithromycin,Vitamin C,933,59.81,LOW
2024-04-10,1007,"Wilson, Page and Warner Hospital",New Brian,Rhode Island,COVID,Summer,407,85,304,271,149,36,116,44,Remdesivir,Paracetamol,Oxygen Support,1628,112.18,HIGH
2024-04-11,1069,Melendez Group Hospital,West Peter,Hawaii,Dengue,Rainy,402,63,335,596,182,42,74,32,ORS,Platelets,Paracetamol,804,56.21,LOW
2024-04-12,1098,"Campbell, Kelly and Morris Hospital",South Kaylatown,Virginia,Malaria,Summer,388,95,342,130,108,24,109,73,Chloroquine,Artemisinin,Primaquine,1940,263.08,HIGH
2024-04-13,1079,"Rivera, Brown and Munoz Hospital",North Kelsey,Michigan,Typhoid,Summer,355,84,296,293,136,42,90,27,Ciprofloxacin,Azithromycin,ORS,1065,101.02,HIGH
2024-04-14,1053,"Rivers, Hogan and Pennington Hospital",Port Courtney,Hawaii,Typhoid,Summer,273,43,247,167,107,22,44,26,Ciprofloxacin,Azithromycin,ORS,1092,147.9,HIGH
2024-04-15,1048,Huffman-Allen Hospital,Andrewport,West Virginia,Flu,Winter,170,27,138,587,37,15,37,13,Paracetamol,Azithromycin,Vitamin C,340,23.51,LOW
2024-04-16,1046,Martin Group Hospital,Port Christina,Kansas,Pneumonia,Summer,348,63,291,338,89,40,102,19,Amoxicillin,Azithromycin,Cough Syrup,696,86.09,HIGH
2024-04-17,1060,"Coleman, Hammond and Ramirez Hospital",Rodneyhaven,Colorado,COVID,Winter,187,44,164,456,61,10,50,31,Remdesivir,Paracetamol,Oxygen Support,935,35.96,LOW
2024-04-18,1056,Price-Williamson Hospital,South Tiffanychester,Illinois,Pneumonia,Rainy,158,25,106,382,36,10,26,7,Amoxicillin,Azithromycin,Cough Syrup,632,27.75,LOW
2024-04-19,1061,Underwood Inc Hospital,Leahport,Pennsylvania,Flu,Winter,327,52,302,478,162,34,92,18,Paracetamol,Azithromycin,Vitamin C,981,63.18,LOW
2024-04-20,1050,"Reed, Allen and Perkins Hospital",East Alyssafurt,Pennsylvania,COVID,Summer,165,25,124,305,57,10,47,9,Remdesivir,Paracetamol,Oxygen Support,330,40.66,LOW
2024-04-21,1084,Stewart Inc Hospital,North Crystal,Hawaii,Flu,Winter,221,28,165,425,66,25,43,8,Paracetamol,Azithromycin,Vitamin C,663,38.82,LOW
2024-04-22,1074,Thompson Group Hospital,Millerton,Rhode Island,Malaria,Winter,50,4,33,509,23,5,14,3,Chloroquine,Artemisinin,Primaquine,100,6.48,LOW
2024-04-23,1064,"Best, Yoder and Bell Hospital",Jenniferbury,Alaska,Typhoid,Summer,286,27,200,348,66,19,73,12,Ciprofloxacin,Azithromycin,ORS,858,57.47,LOW
2024-04-24,1014,"Daniels, Gibson and Becker Hospital",Port Paul,Alabama,Dengue,Winter,51,11,37,125,24,4,12,5,ORS,Platelets,Paracetamol,153,29.6,LOW
2024-04-25,1003,Williams Group Hospital,Port Patrick,Oklahoma,COVID,Summer,228,21,175,119,104,14,37,13,Remdesivir,Paracetamol,Oxygen Support,1140,147.06,HIGH
2024-04-26,1053,Vargas PLC Hospital,Danfort,Connecticut,COVID,Rainy,343,50,231,292,76,34,59,26,Remdesivir,Paracetamol,Oxygen Support,686,79.11,MEDIUM
2024-04-27,1017,Vasquez-Griffin Hospital,Williambury,Idaho,Pneumonia,Rainy,388,60,315,156,92,27,92,33,Amoxicillin,Azithromycin,Cough Syrup,776,201.92,HIGH
2024-04-28,1082,Kennedy-Ramirez Hospital,Davidfurt,Virginia,Pneumonia,Winter,129,22,89,198,49,6,34,12,Amoxicillin,Azithromycin,Cough Syrup,645,44.95,LOW
2024-04-29,1032,Butler-King Hospital,Clarkville,Michigan,COVID,Rainy,500,80,373,271,164,59,75,27,Remdesivir,Paracetamol,Oxygen Support,1500,137.64,HIGH
2024-04-30,1041,"Lewis, Nguyen and Stevens Hospital",East Zachary,Delaware,Typhoid,Winter,440,56,398,207,187,42,71,42,Ciprofloxacin,Azithromycin,ORS,880,192.27,HIGH
2024-05-01,1040,Ware-Wheeler Hospital,Georgeburgh,Rhode Island,COVID,Rainy,144,19,126,549,69,9,26,6,Remdesivir,Paracetamol,Oxygen Support,432,22.95,LOW
2024-05-02,1058,Wilson LLC Hospital,Scottstad,Wyoming,COVID,Rainy,383,65,243,333,112,40,87,28,Remdesivir,Paracetamol,Oxygen Support,766,72.97,MEDIUM
2024-05-03,1016,Faulkner-Tapia Hospital,Tammyton,Mississippi,COVID,Summer,210,47,151,546,92,24,51,23,Remdesivir,Paracetamol,Oxygen Support,1050,27.66,LOW
2024-05-04,1054,Blake PLC Hospital,Scottshire,North Dakota,COVID,Rainy,94,7,64,599,32,5,28,3,Remdesivir,Paracetamol,Oxygen Support,188,10.68,LOW
2024-05-05,1047,"Edwards, Davis and Guzman Hospital",Jameshaven,Indiana,COVID,Winter,242,35,189,297,53,24,42,17,Remdesivir,Paracetamol,Oxygen Support,1210,63.64,LOW
2024-05-06,1050,Peters Ltd Hospital,Walkerview,Texas,Pneumonia,Summer,222,28,133,495,78,22,42,17,Amoxicillin,Azithromycin,Cough Syrup,444,26.87,LOW
2024-05-07,1074,"Middleton, Terrell and Reid Hospital",Richardchester,Delaware,Dengue,Summer,240,23,182,373,88,25,41,10,ORS,Platelets,Paracetamol,1200,48.79,LOW
2024-05-08,1043,Smith-Hammond Hospital,Cervantesburgh,Massachusetts,Dengue,Summer,210,51,176,192,70,13,56,20,ORS,Platelets,Paracetamol,420,91.67,HIGH
2024-05-09,1085,Ingram Ltd Hospital,Wileyborough,Rhode Island,Dengue,Winter,380,80,244,179,180,30,105,60,ORS,Platelets,Paracetamol,1900,136.31,HIGH
2024-05-10,1001,Gonzalez-Taylor Hospital,North Andrewshire,Alaska,Pneumonia,Summer,364,48,259,351,73,37,97,24,Amoxicillin,Azithromycin,Cough Syrup,1820,73.79,MEDIUM
2024-05-11,1057,Gray LLC Hospital,Markburgh,Maryland,Pneumonia,Rainy,384,59,348,224,91,25,104,22,Amoxicillin,Azithromycin,Cough Syrup,1152,155.36,HIGH
2024-05-12,1088,"Davis, Brown and Smith Hospital",Romeroborough,Wyoming,COVID,Winter,341,28,281,200,148,40,55,15,Remdesivir,Paracetamol,Oxygen Support,1023,140.5,HIGH
2024-05-13,1071,Mitchell PLC Hospital,West Justin,Michigan,Malaria,Summer,208,39,164,387,69,16,59,20,Chloroquine,Artemisinin,Primaquine,832,42.38,LOW
2024-05-14,1001,Cannon and Sons Hospital,Hallburgh,Indiana,Flu,Winter,257,46,221,327,92,25,70,36,Paracetamol,Azithromycin,Vitamin C,1285,67.58,MEDIUM
2024-05-15,1033,Bell Group Hospital,Lake Danielhaven,Alabama,Malaria,Summer,117,27,93,537,47,6,34,14,Chloroquine,Artemisinin,Primaquine,234,17.32,LOW
2024-05-16,1025,Brown-Aguilar Hospital,Rachelbury,Alaska,COVID,Rainy,132,30,122,419,38,13,28,19,Remdesivir,Paracetamol,Oxygen Support,660,29.12,LOW
2024-05-17,1044,Case-Barr Hospital,Jacksonview,Wisconsin,Malaria,Winter,452,63,414,169,168,25,130,25,Chloroquine,Artemisinin,Primaquine,904,244.97,HIGH
2024-05-18,1045,"Armstrong, Young and Huff Hospital",East Jason,Nebraska,Dengue,Summer,167,21,115,328,45,16,26,14,ORS,Platelets,Paracetamol,668,35.06,LOW
2024-05-19,1042,Smith Inc Hospital,Anthonyhaven,Delaware,Pneumonia,Rainy,339,54,212,285,103,25,58,40,Amoxicillin,Azithromycin,Cough Syrup,1695,74.39,MEDIUM
2024-05-20,1064,"Petty, Walker and Jacobs Hospital",Smithstad,North Carolina,Dengue,Summer,185,22,139,360,56,16,48,13,ORS,Platelets,Paracetamol,370,38.61,LOW
2024-05-21,1051,Webb and Sons Hospital,East Kevin,Pennsylvania,Dengue,Summer,201,30,163,454,95,15,31,9,ORS,Platelets,Paracetamol,1005,35.9,LOW
2024-05-22,1086,Nichols-Small Hospital,Jessicaton,Pennsylvania,Dengue,Summer,492,40,464,211,187,38,122,24,ORS,Platelets,Paracetamol,984,219.91,HIGH
2024-05-23,1063,Thornton and Sons Hospital,New Diamond,California,COVID,Winter,267,30,171,266,84,25,46,23,Remdesivir,Paracetamol,Oxygen Support,1068,64.29,LOW
2024-05-24,1022,Parrish-Howard Hospital,Lake Derrick,New Mexico,Flu,Summer,176,19,135,560,37,14,27,7,Paracetamol,Azithromycin,Vitamin C,704,24.11,LOW
2024-05-25,1023,Weber Inc Hospital,Paulland,Illinois,Flu,Summer,280,37,215,464,77,21,60,21,Paracetamol,Azithromycin,Vitamin C,840,46.34,LOW
