Date,Hospital_ID,Hospital_Name,City,State,Disease_Type,Season,Patient_Count,ICU_Required,Beds_Required,Available_Beds,Oxygen_Cylinders_Required,Doctors_Required,Nurses_Required,Ventilators_Required,Medicine_1,Medicine_2,Medicine_3,Medicine_Units_Required,Occupancy_Rate,Emergency_Level
2024-02-28,1010,Mills and Sons Hospital,Palmerborough,Utah,3,2,205,49,126,495,80,18,44,35,Chloroquine,Artemisinin,Primaquine,820,25.45,1
2024-02-29,1021,Sullivan Inc Hospital,Danielleton,New York,2,0,170,21,129,557,74,11,29,10,Paracetamol,Azithromycin,Vitamin C,340,23.16,1
2024-03-01,1034,"Martinez, Chavez and Ramirez Hospital",Michaelmouth,Virginia,3,1,127,11,97,143,41,7,37,7,Chloroquine,Artemisinin,Primaquine,635,67.83,2
2024-03-02,1040,Smith and Sons Hospital,Taylorburgh,Alabama,0,0,336,33,295,515,76,33,55,19,Remdesivir,Paracetamol,Oxygen Support,1008,57.28,1
2024-03-03,1092,Kim-Martinez Hospital,West Carlyberg,New York,2,0,473,61,378,233,229,28,138,39,Paracetamol,Azithromycin,Vitamin C,1419,162.23,0
2024-03-04,1084,"Lewis, Jackson and Bailey Hospital",Johnsonmouth,Rhode Island,5,1,365,55,336,412,85,35,96,17,Ciprofloxacin,Azithromycin,ORS,1460,81.55,2
2024-03-05,1099,Odom-Phillips Hospital,Sharonhaven,Texas,2,2,174,32,119,194,70,12,39,17,Paracetamol,Azithromycin,Vitamin C,522,61.34,1
2024-03-06,1019,Bray-Russell Hospital,Port Christina,Tennessee,0,1,409,89,303,504,103,27,120,49,Remdesivir,Paracetamol,Oxygen Support,2045,60.12,1
2024-03-07,1095,"Serrano, Russell and Morgan Hospital",Debramouth,Washington,3,1,439,86,293,192,199,37,104,62,Chloroquine,Artemisinin,Primaquine,2195,152.6,0
2024-03-08,1065,"Moore, Ford and Wheeler Hospital",Gallegosport,Georgia,2,1,447,75,330,308,173,30,86,52,Paracetamol,Azithromycin,Vitamin C,1341,107.14,0
2024-03-09,1069,Moyer Ltd Hospital,West Robertton,Massachusetts,4,2,225,26,198,427,69,18,58,17,Amoxicillin,Azithromycin,Cough Syrup,1125,46.37,1
2024-03-10,1054,Zuniga PLC Hospital,West Nancy,Wisconsin,0,1,162,38,121,544,49,10,35,22,Remdesivir,Paracetamol,Oxygen Support,486,22.24,1
2024-03-11,1005,Lowe Inc Hospital,Evelynborough,New Hampshire,3,1,424,89,295,285,192,26,74,26,Chloroquine,Artemisinin,Primaquine,1696,103.51,0
2024-03-12,1061,King-Gates Hospital,Brownmouth,Oregon,4,0,248,43,188,566,103,22,40,27,Amoxicillin,Azithromycin,Cough Syrup,744,33.22,1
2024-03-13,1065,"Kim, Brown and Alvarado Hospital",South Bryanville,New Hampshire,4,0,352,78,238,215,138,20,57,33,Amoxicillin,Azithromycin,Cough Syrup,1760,110.7,0
2024-03-14,1026,"Lyons, Gross and Brown Hospital",Lake Michaelberg,Utah,4,0,322,70,242,384,140,22,64,42,Amoxicillin,Azithromycin,Cough Syrup,966,63.02,1
2024-03-15,1018,"Huff, Sherman and Orr Hospital",Moodytown,Montana,4,2,202,38,146,580,84,14,49,22,Amoxicillin,Azithromycin,Cough Syrup,606,25.17,1
2024-03-16,1097,"Reed, Davis and Green Hospital",West Yolanda,Utah,4,1,404,49,313,570,139,20,62,32,Amoxicillin,Azithromycin,Cough Syrup,808,54.91,1
2024-03-17,1055,Simmons-Goodwin Hospital,West Seanview,Colorado,0,1,92,15,87,139,20,5,19,11,Remdesivir,Paracetamol,Oxygen Support,368,62.59,1
2024-03-18,1060,Burgess-Bryant Hospital,Floresport,North Carolina,2,0,480,106,399,261,232,43,96,68,Paracetamol,Azithromycin,Vitamin C,1920,152.87,0
2024-03-19,1023,Johnson Ltd Hospital,New Patriciaberg,Arkansas,0,2,472,58,313,536,196,55,94,31,Remdesivir,Paracetamol,Oxygen Support,944,58.4,1
2024-03-20,1035,Brown-Wallace Hospital,Carrollport,South Dakota,1,1,74,10,61,473,32,6,12,5,ORS,Platelets,Paracetamol,370,12.9,1
2024-03-21,1083,Richardson LLC Hospital,Swansonmouth,Oregon,1,1,97,18,63,331,46,8,27,12,ORS,Platelets,Paracetamol,485,19.03,1
2024-03-22,1058,"Smith, Hartman and Reid Hospital",Port Joshuachester,Alaska,0,2,181,44,148,278,79,14,45,29,Remdesivir,Paracetamol,Oxygen Support,543,53.24,1
2024-03-23,1091,Kim-Johnson Hospital,Port Devinborough,Idaho,1,1,397,83,329,156,82,23,86,63,ORS,Platelets,Paracetamol,1191,210.9,0
2024-03-24,1042,"Wright, Patrick and Rodriguez Hospital",Angelland,Colorado,2,2,90,7,72,100,26,9,23,3,Paracetamol,Azithromycin,Vitamin C,180,72.0,2
2024-03-25,1004,Hernandez-Snyder Hospital,New Patriciaberg,Georgia,4,1,399,96,252,144,121,37,73,45,Amoxicillin,Azithromycin,Cough Syrup,1596,175.0,0
2024-03-26,1007,Lewis-Whitaker Hospital,Rossland,Tennessee,1,1,407,33,288,412,83,33,89,23,ORS,Platelets,Paracetamol,2035,69.9,2
2024-03-27,1034,"Robinson, Carr and Russell Hospital",Lake Ronald,Oklahoma,1,1,482,80,442,457,181,39,85,59,ORS,Platelets,Paracetamol,2410,96.72,0
2024-03-28,1003,"Kelly, Logan and Mcdowell Hospital",Port Brianna,Arizona,4,1,112,21,90,106,44,9,31,15,Amoxicillin,Azithromycin,Cough Syrup,448,84.91,2
2024-03-29,1095,Rivera-Weiss Hospital,Churchland,Washington,3,2,389,54,274,455,185,24,106,38,Chloroquine,Artemisinin,Primaquine,1556,60.22,1
2024-03-30,1021,Nelson and Sons Hospital,Russoside,Florida,2,1,126,16,75,268,62,8,21,5,Paracetamol,Azithromycin,Vitamin C,378,27.99,1
2024-03-31,1061,Coleman and Sons Hospital,Michaelshire,Oklahoma,5,2,325,47,255,402,105,16,59,20,Ciprofloxacin,Azithromycin,ORS,1300,63.43,1
2024-04-01,1059,"Stanley, Jones and Bowen Hospital",New Joseph,Rhode Island,3,1,347,78,299,243,83,29,92,37,Chloroquine,Artemisinin,Primaquine,694,123.05,0
2024-04-02,1098,Maldonado-Fry Hospital,North Frank,Alabama,0,2,67,12,52,246,21,6,19,4,Remdesivir,Paracetamol,Oxygen Support,335,21.14,1
2024-04-03,1038,"Morris, Ware and Williams Hospital",North Kimberly,Michigan,1,0,257,27,195,125,79,30,51,20,ORS,Platelets,Paracetamol,771,156.0,0
2024-04-04,1075,Gonzalez-Bright Hospital,Richardsshire,Minnesota,1,0,207,27,165,344,54,24,49,19,ORS,Platelets,Paracetamol,828,47.97,1
2024-04-05,1012,Rodriguez Inc Hospital,North Kathrynside,New Hampshire,1,2,495,80,342,198,201,46,76,63,ORS,Platelets,Paracetamol,1980,172.73,0
2024-04-06,1069,Garrison-Salazar Hospital,Johnborough,Washington,5,2,384,85,256,147,104,28,60,34,Ciprofloxacin,Azithromycin,ORS,1152,174.15,0
2024-04-07,1099,Johnson-Mayer Hospital,Lake Robert,Missouri,4,1,435,100,380,367,183,42,124,34,Amoxicillin,Azithromycin,Cough Syrup,1740,103.54,0
2024-04-08,1007,"Ramos, Knight and Long Hospital",South Paula,Mississippi,5,2,421,95,333,525,122,27,67,42,Ciprofloxacin,Azithromycin,ORS,1263,63.43,1
2024-04-09,1090,Miller Inc Hospital,Port Brendaburgh,Utah,2,0,311,42,192,321,145,32,73,24,Paracetamol,Azithromycin,Vitamin C,933,59.81,1
2024-04-10,1007,"Wilson, Page and Warner Hospital",New Brian,Rhode Island,0,1,407,85,304,271,149,36,116,44,Remdesivir,Paracetamol,Oxygen Support,1628,112.18,0
2024-04-11,1069,Melendez Group Hospital,West Peter,Hawaii,1,0,402,63,335,596,182,42,74,32,ORS,Platelets,Paracetamol,804,56.21,1
2024-04-12,1098,"Campbell, Kelly and Morris Hospital",South Kaylatown,Virginia,3,1,388,95,342,130,108,24,109,73,Chloroquine,Artemisinin,Primaquine,1940,263.08,0
2024-04-13,1079,"Rivera, Brown and Munoz Hospital",North Kelsey,Michigan,5,1,355,84,296,293,136,42,90,27,Ciprofloxacin,Azithromycin,ORS,1065,101.02,0
2024-04-14,1053,"Rivers, Hogan and Pennington Hospital",Port Courtney,Hawaii,5,1,273,43,247,167,107,22,44,26,Ciprofloxacin,Azithromycin,ORS,1092,147.9,0
2024-04-15,1048,Huffman-Allen Hospital,Andrewport,West Virginia,2,2,170,27,138,587,37,15,37,13,Paracetamol,Azithromycin,Vitamin C,340,23.51,1
2024-04-16,1046,Martin Group Hospital,Port Christina,Kansas,4,1,348,63,291,338,89,40,102,19,Amoxicillin,Azithromycin,Cough Syrup,696,86.09,0
2024-04-17,1060,"Coleman, Hammond and Ramirez Hospital",Rodneyhaven,Colorado,0,2,187,44,164,456,61,10,50,31,Remdesivir,Paracetamol,Oxygen Support,935,35.96,1
2024-04-18,1056,Price-Williamson Hospital,South Tiffanychester,Illinois,4,0,158,25,106,382,36,10,26,7,Amoxicillin,Azithromycin,Cough Syrup,632,27.75,1
2024-04-19,1061,Underwood Inc Hospital,Leahport,Pennsylvania,2,2,327,52,302,478,162,34,92,18,Paracetamol,Azithromycin,Vitamin C,981,63.18,1
2024-04-20,1050,"Reed, Allen and Perkins Hospital",East Alyssafurt,Pennsylvania,0,1,165,25,124,305,57,10,47,9,Remdesivir,Paracetamol,Oxygen Support,330,40.66,1
2024-04-21,1084,Stewart Inc Hospital,North Crystal,Hawaii,2,2,221,28,165,425,66,25,43,8,Paracetamol,Azithromycin,Vitamin C,663,38.82,1
2024-04-22,1074,Thompson Group Hospital,Millerton,Rhode Island,3,2,50,4,33,509,23,5,14,3,Chloroquine,Artemisinin,Primaquine,100,6.48,1
2024-04-23,1064,"Best, Yoder and Bell Hospital",Jenniferbury,Alaska,5,1,286,27,200,348,66,19,73,12,Ciprofloxacin,Azithromycin,ORS,858,57.47,1
2024-04-24,1014,"Daniels, Gibson and Becker Hospital",Port Paul,Alabama,1,2,51,11,37,125,24,4,12,5,ORS,Platelets,Paracetamol,153,29.6,1
2024-04-25,1003,Williams Group Hospital,Port Patrick,Oklahoma,0,1,228,21,175,119,104,14,37,13,Remdesivir,Paracetamol,Oxygen Support,1140,147.06,0
2024-04-26,1053,Vargas PLC Hospital,Danfort,Connecticut,0,0,343,50,231,292,76,34,59,26,Remdesivir,Paracetamol,Oxygen Support,686,79.11,2
2024-04-27,1017,Vasquez-Griffin Hospital,Williambury,Idaho,4,0,388,60,315,156,92,27,92,33,Amoxicillin,Azithromycin,Cough Syrup,776,201.92,0
2024-04-28,1082,Kennedy-Ramirez Hospital,Davidfurt,Virginia,4,2,129,22,89,198,49,6,34,12,Amoxicillin,Azithromycin,Cough Syrup,645,44.95,1
2024-04-29,1032,Butler-King Hospital,Clarkville,Michigan,0,0,500,80,373,271,164,59,75,27,Remdesivir,Paracetamol,Oxygen Support,1500,137.64,0
2024-04-30,1041,"Lewis, Nguyen and Stevens Hospital",East Zachary,Delaware,5,2,440,56,398,207,187,42,71,42,Ciprofloxacin,Azithromycin,ORS,880,192.27,0
2024-05-01,1040,Ware-Wheeler Hospital,Georgeburgh,Rhode Island,0,0,144,19,126,549,69,9,26,6,Remdesivir,Paracetamol,Oxygen Support,432,22.95,1
2024-05-02,1058,Wilson LLC Hospital,Scottstad,Wyoming,0,0,383,65,243,333,112,40,87,28,Remdesivir,Paracetamol,Oxygen Support,766,72.97,2
2024-05-03,1016,Faulkner-Tapia Hospital,Tammyton,Mississippi,0,1,210,47,151,546,92,24,51,23,Remdesivir,Paracetamol,Oxygen Support,1050,27.66,1
2024-05-04,1054,Blake PLC Hospital,Scottshire,North Dakota,0,0,94,7,64,599,32,5,28,3,Remdesivir,Paracetamol,Oxygen Support,188,10.68,1
2024-05-05,1047,"Edwards, Davis and Guzman Hospital",Jameshaven,Indiana,0,2,242,35,189,297,53,24,42,17,Remdesivir,Paracetamol,Oxygen Support,1210,63.64,1
2024-05-06,1050,Peters Ltd Hospital,Walkerview,Texas,4,1,222,28,133,495,78,22,42,17,Amoxicillin,Azithromycin,Cough Syrup,444,26.87,1
2024-05-07,1074,"Middleton, Terrell and Reid Hospital",Richardchester,Delaware,1,1,240,23,182,373,88,25,41,10,ORS,Platelets,Paracetamol,1200,48.79,1
2024-05-08,1043,Smith-Hammond Hospital,Cervantesburgh,Massachusetts,1,1,210,51,176,192,70,13,56,20,ORS,Platelets,Paracetamol,420,91.67,0
2024-05-09,1085,Ingram Ltd Hospital,Wileyborough,Rhode Island,1,2,380,80,244,179,180,30,105,60,ORS,Platelets,Paracetamol,1900,136.31,0
2024-05-10,1001,Gonzalez-Taylor Hospital,North Andrewshire,Alaska,4,1,364,48,259,351,73,37,97,24,Amoxicillin,Azithromycin,Cough Syrup,1820,73.79,2
2024-05-11,1057,Gray LLC Hospital,Markburgh,Maryland,4,0,384,59,348,224,91,25,104,22,Amoxicillin,Azithromycin,Cough Syrup,1152,155.36,0
2024-05-12,1088,"Davis, Brown and Smith Hospital",Romeroborough,Wyoming,0,2,341,28,281,200,148,40,55,15,Remdesivir,Paracetamol,Oxygen Support,1023,140.5,0
2024-05-13,1071,Mitchell PLC Hospital,West Justin,Michigan,3,1,208,39,164,387,69,16,59,20,Chloroquine,Artemisinin,Primaquine,832,42.38,1
2024-05-14,1001,Cannon and Sons Hospital,Hallburgh,Indiana,2,2,257,46,221,327,92,25,70,36,Paracetamol,Azithromycin,Vitamin C,1285,67.58,2
2024-05-15,1033,Bell Group Hospital,Lake Danielhaven,Alabama,3,1,117,27,93,537,47,6,34,14,Chloroquine,Artemisinin,Primaquine,234,17.32,1
2024-05-16,1025,Brown-Aguilar Hospital,Rachelbury,Alaska,0,0,132,30,122,419,38,13,28,19,Remdesivir,Paracetamol,Oxygen Support,660,29.12,1
2024-05-17,1044,Case-Barr Hospital,Jacksonview,Wisconsin,3,2,452,63,414,169,168,25,130,25,Chloroquine,Artemisinin,Primaquine,904,244.97,0
2024-05-18,1045,"Armstrong, Young and Huff Hospital",East Jason,Nebraska,1,1,167,21,115,328,45,16,26,14,ORS,Platelets,Paracetamol,668,35.06,1
2024-05-19,1042,Smith Inc Hospital,Anthonyhaven,Delaware,4,0,339,54,212,285,103,25,58,40,Amoxicillin,Azithromycin,Cough Syrup,1695,74.39,2
2024-05-20,1064,"Petty, Walker and Jacobs Hospital",Smithstad,North Carolina,1,1,185,22,139,360,56,16,48,13,ORS,Platelets,Paracetamol,370,38.61,1
2024-05-21,1051,Webb and Sons Hospital,East Kevin,Pennsylvania,1,1,201,30,163,454,95,15,31,9,ORS,Platelets,Paracetamol,1005,35.9,1
2024-05-22,1086,Nichols-Small Hospital,Jessicaton,Pennsylvania,1,1,492,40,464,211,187,38,122,24,ORS,Platelets,Paracetamol,984,219.91,0
2024-05-23,1063,Thornton and Sons Hospital,New Diamond,California,0,2,267,30,171,266,84,25,46,23,Remdesivir,Paracetamol,Oxygen Support,1068,64.29,1
2024-05-24,1022,Parrish-Howard Hospital,Lake Derrick,New Mexico,2,1,176,19,135,560,37,14,27,7,Paracetamol,Azithromycin,Vitamin C,704,24.11,1
2024-05-25,1023,Weber Inc Hospital,Paulland,Illinois,2,1,280,37,215,464,77,21,60,21,Paracetamol,Azithromycin,Vitamin C,840,46.34,1
2024-05-26,1008,"Weaver, Evans and Taylor Hospital",Duranburgh,New Jersey,5,2,382,33,272,105,122,41,78,23,Ciprofloxacin,Azithromycin,ORS,1910,259.05,0
2024-05-27,1053,"Sparks, Carney and Baker Hospital",Brianburgh,Mississippi,3,2,455,56,424,126,133,41,69,34,Chloroquine,Artemisinin,Primaquine,1365,336.51,0
2024-05-28,1018,Hoffman Group Hospital,Padillahaven,West Virginia,4,0,212,43,162,592,82,11,32,17,Amoxicillin,Azithromycin,Cough Syrup,636,27.36,1
2024-05-29,1049,Nolan LLC Hospital,East Emilychester,Nevada,3,0,245,40,168,358,95,19,55,21,Chloroquine,Artemisinin,Primaquine,490,46.93,1
2024-05-30,1026,Moore LLC Hospital,Johnmouth,Arizona,1,1,178,42,159,386,85,10,36,29,ORS,Platelets,Paracetamol,712,41.19,1
2024-05-31,1039,Morton LLC Hospital,Hallton,West Virginia,0,2,149,34,134,293,72,11,30,18,Remdesivir,Paracetamol,Oxygen Support,447,45.73,1
2024-06-01,1060,"Walter, Jacobson and Harmon Hospital",Michaelton,California,3,2,278,49,177,343,89,28,83,30,Chloroquine,Artemisinin,Primaquine,1390,51.6,1
2024-06-02,1075,Gray Group Hospital,New April,New Jersey,2,2,128,23,105,335,35,15,36,9,Paracetamol,Azithromycin,Vitamin C,512,31.34,1
2024-06-03,1028,Flores and Sons Hospital,Johnsonchester,Hawaii,1,2,375,36,293,203,182,26,78,21,ORS,Platelets,Paracetamol,1875,144.33,0
2024-06-04,1096,"Ferguson, Morales and Chavez Hospital",Ianside,Colorado,3,2,370,72,330,205,106,29,100,31,Chloroquine,Artemisinin,Primaquine,1110,160.98,0
2024-06-05,1093,Johnson-Fisher Hospital,Hollystad,Kentucky,1,2,425,37,389,109,192,42,98,26,ORS,Platelets,Paracetamol,1275,356.88,0
2024-06-06,1007,Brown and Sons Hospital,Lindseyville,New Hampshire,1,1,382,47,267,118,97,25,90,28,ORS,Platelets,Paracetamol,1528,226.27,0
2024-06-07,1042,Collins-Walsh Hospital,Lake Nancyside,South Dakota,4,1,219,32,135,261,94,11,52,24,Amoxicillin,Azithromycin,Cough Syrup,876,51.72,1
2024-06-08,1022,Fuller PLC Hospital,Tiffanymouth,New Hampshire,1,1,263,59,178,271,104,27,47,20,ORS,Platelets,Paracetamol,1315,65.68,2
